"Location","medallion","hack_license","vendor_id","pickup_datetime","payment_type","fare_amount","surcharge","mta_tax","tip_amount","tolls_amount","total_amount"
"/GS/storage.googleapis.com/demonow_development/TRNG-NYCTaxi/trip-fare/object_35_68_1.parquet","43FE458F8739C22C9CED57A4221148C8","3DAD33C4E0618C69AB98F2E95410ED64","VTS","2013-11-09 20:17:00.000000","CRD","6","0.5","0.5","1.62","0","8.62"
"/GS/storage.googleapis.com/demonow_development/TRNG-NYCTaxi/trip-fare/object_35_70_1.parquet","6E65F6BB3F11995546EC97C379FC95A5","0707FE2829B2D61DDADE70F435141E11","CMT","2013-11-10 05:53:22.000000","CSH","4","0","0.5","0","0","4.5"
"/GS/storage.googleapis.com/demonow_development/TRNG-NYCTaxi/trip-fare/object_35_70_1.parquet","6E65F6BB3F11995546EC97C379FC95A5","0707FE2829B2D61DDADE70F435141E11","CMT","2013-11-10 06:00:21.000000","CSH","7.5","0","0.5","0","0","8"
"/GS/storage.googleapis.com/demonow_development/TRNG-NYCTaxi/trip-fare/object_35_60_1.parquet","7376BAC10BB8455E4AE6A7C3C4552458","3B55CAD7F5163FDD88E1087040D95DBB","VTS","2013-11-09 19:33:00.000000","CSH","26.5","0.5","0.5","0","0","27.5"
"/GS/storage.googleapis.com/demonow_development/TRNG-NYCTaxi/trip-fare/object_35_60_1.parquet","7376BAC10BB8455E4AE6A7C3C4552458","3B55CAD7F5163FDD88E1087040D95DBB","VTS","2013-11-09 20:50:00.000000","CRD","12.5","0.5","0.5","1.5","0","15"
"/GS/storage.googleapis.com/demonow_development/TRNG-NYCTaxi/trip-fare/object_35_58_1.parquet","AA18461811E697846E6F664F347FDC34","C07126B66DD215DCFEB9D48BB505212C","VTS","2013-11-09 20:47:00.000000","CRD","21","0.5","0.5","4.3","0","26.3"
"/GS/storage.googleapis.com/demonow_development/TRNG-NYCTaxi/trip-fare/object_35_58_1.parquet","AA18461811E697846E6F664F347FDC34","C07126B66DD215DCFEB9D48BB505212C","VTS","2013-11-09 23:58:00.000000","CRD","41.5","0.5","0.5","3","0","45.5"
"/GS/storage.googleapis.com/demonow_development/TRNG-NYCTaxi/trip-fare/object_35_58_1.parquet","AA18461811E697846E6F664F347FDC34","C07126B66DD215DCFEB9D48BB505212C","VTS","2013-11-10 00:35:00.000000","CRD","20.5","0.5","0.5","4.2","0","25.7"
"/GS/storage.googleapis.com/demonow_development/TRNG-NYCTaxi/trip-fare/object_35_60_1.parquet","7376BAC10BB8455E4AE6A7C3C4552458","3B55CAD7F5163FDD88E1087040D95DBB","VTS","2013-11-09 20:23:00.000000","CSH","22.5","0.5","0.5","0","0","23.5"
"/GS/storage.googleapis.com/demonow_development/TRNG-NYCTaxi/trip-fare/object_35_70_1.parquet","6E65F6BB3F11995546EC97C379FC95A5","0707FE2829B2D61DDADE70F435141E11","CMT","2013-11-10 05:12:26.000000","CRD","52","0","0.5","11.56","5.33","69.39"
