"Store","Date","Temperature","Fuel_Price","MarkDown1","MarkDown2","MarkDown3","MarkDown4","MarkDown5","CPI","Unemployment","IsHoliday"
6,"05/02/2010",40.43,2.572,,,,,,212.6223518,7.259,FALSE
24,"05/02/2010",22.43,2.954,,,,,,131.5279032,8.326,FALSE
13,"05/02/2010",31.53,2.666,,,,,,126.4420645,8.316,FALSE
16,"05/02/2010",19.79,2.580,,,,,,189.3816974,7.039,FALSE
29,"05/02/2010",24.36,2.788,,,,,,131.5279032,10.064,FALSE
45,"05/02/2010",27.31,2.784,,,,,,181.8711898,8.992,FALSE
41,"05/02/2010",30.27,2.580,,,,,,189.3816974,7.541,FALSE
30,"05/02/2010",39.05,2.572,,,,,,210.7526053,8.324,FALSE
42,"05/02/2010",54.34,2.962,,,,,,126.4420645,9.765,FALSE
38,"05/02/2010",49.47,2.962,,,,,,126.4420645,13.975,FALSE
3,"05/02/2010",45.71,2.572,,,,,,214.4248812,7.368,FALSE
40,"05/02/2010",14.48,2.788,,,,,,131.5279032,5.892,FALSE
32,"05/02/2010",34.43,2.580,,,,,,189.3816974,9.014,FALSE
34,"05/02/2010",35.44,2.598,,,,,,126.4420645,9.521,FALSE
26,"05/02/2010",9.55,2.788,,,,,,131.5279032,8.488,FALSE
18,"05/02/2010",21.33,2.788,,,,,,131.5279032,9.202,FALSE
12,"05/02/2010",49.47,2.962,,,,,,126.4420645,13.975,FALSE
23,"05/02/2010",15.25,2.788,,,,,,131.5279032,5.892,FALSE
37,"05/02/2010",45.97,2.572,,,,,,209.8529663,8.554,FALSE
20,"05/02/2010",25.92,2.784,,,,,,204.2471935,8.187,FALSE
19,"05/02/2010",20.96,2.954,,,,,,131.5279032,8.350,FALSE
31,"05/02/2010",39.05,2.572,,,,,,210.7526053,8.324,FALSE
9,"05/02/2010",38.01,2.572,,,,,,214.6554591,6.415,FALSE
4,"05/02/2010",43.76,2.598,,,,,,126.4420645,8.623,FALSE
28,"05/02/2010",49.47,2.962,,,,,,126.4420645,13.975,FALSE
5,"05/02/2010",39.70,2.572,,,,,,211.6539716,6.566,FALSE
1,"05/02/2010",42.31,2.572,,,,,,211.0963582,8.106,FALSE
21,"05/02/2010",39.05,2.572,,,,,,210.7526053,8.324,FALSE
36,"05/02/2010",45.97,2.545,,,,,,209.8529663,8.554,FALSE
15,"05/02/2010",19.83,2.954,,,,,,131.5279032,8.350,FALSE
14,"05/02/2010",27.31,2.784,,,,,,181.8711898,8.992,FALSE
43,"05/02/2010",47.31,2.572,,,,,,203.0642742,9.521,FALSE
8,"05/02/2010",34.14,2.572,,,,,,214.4714512,6.299,FALSE
35,"05/02/2010",27.19,2.784,,,,,,135.3524608,9.262,FALSE
22,"05/02/2010",24.36,2.788,,,,,,135.3524608,8.283,FALSE
2,"05/02/2010",40.19,2.572,,,,,,210.7526053,8.324,FALSE
25,"05/02/2010",21.10,2.784,,,,,,204.2471935,8.187,FALSE
17,"05/02/2010",23.11,2.666,,,,,,126.4420645,6.548,FALSE
39,"05/02/2010",44.30,2.572,,,,,,209.8529663,8.554,FALSE
11,"05/02/2010",46.04,2.572,,,,,,214.4248812,7.368,FALSE
10,"05/02/2010",54.34,2.962,,,,,,126.4420645,9.765,FALSE
6,"12/02/2010",40.57,2.548,,,,,,212.7700425,7.259,TRUE
24,"12/02/2010",25.94,2.940,,,,,,131.5866129,8.326,TRUE
13,"12/02/2010",33.16,2.671,,,,,,126.4962581,8.316,TRUE
16,"12/02/2010",20.87,2.572,,,,,,189.4642725,7.039,TRUE
29,"12/02/2010",28.14,2.771,,,,,,131.5866129,10.064,TRUE
45,"12/02/2010",27.73,2.773,,,,,,181.9823170,8.992,TRUE
41,"12/02/2010",23.04,2.572,,,,,,189.4642725,7.541,TRUE
30,"12/02/2010",37.77,2.548,,,,,,210.8979935,8.324,TRUE
42,"12/02/2010",49.96,2.828,,,,,,126.4962581,9.765,TRUE
38,"12/02/2010",47.87,2.946,,,,,,126.4962581,13.975,TRUE
3,"12/02/2010",47.93,2.548,,,,,,214.5747916,7.368,TRUE
40,"12/02/2010",20.84,2.771,,,,,,131.5866129,5.892,TRUE
32,"12/02/2010",28.09,2.572,,,,,,189.4642725,9.014,TRUE
34,"12/02/2010",36.13,2.573,,,,,,126.4962581,9.521,TRUE
26,"12/02/2010",18.14,2.771,,,,,,131.5866129,8.488,TRUE
18,"12/02/2010",26.41,2.771,,,,,,131.5866129,9.202,TRUE
12,"12/02/2010",47.87,2.946,,,,,,126.4962581,13.975,TRUE
23,"12/02/2010",18.75,2.771,,,,,,131.5866129,5.892,TRUE
37,"12/02/2010",46.11,2.548,,,,,,209.9970208,8.554,TRUE
20,"12/02/2010",22.12,2.773,,,,,,204.3857472,8.187,TRUE
19,"12/02/2010",23.22,2.940,,,,,,131.5866129,8.350,TRUE
31,"12/02/2010",37.77,2.548,,,,,,210.8979935,8.324,TRUE
9,"12/02/2010",37.08,2.548,,,,,,214.8056534,6.415,TRUE
4,"12/02/2010",28.84,2.573,,,,,,126.4962581,8.623,TRUE
28,"12/02/2010",47.87,2.946,,,,,,126.4962581,13.975,TRUE
5,"12/02/2010",39.81,2.548,,,,,,211.8004698,6.566,TRUE
1,"12/02/2010",38.51,2.548,,,,,,211.2421698,8.106,TRUE
21,"12/02/2010",37.77,2.548,,,,,,210.8979935,8.324,TRUE
36,"12/02/2010",46.11,2.539,,,,,,209.9970208,8.554,TRUE
15,"12/02/2010",22.00,2.940,,,,,,131.5866129,8.350,TRUE
14,"12/02/2010",27.73,2.773,,,,,,181.9823170,8.992,TRUE
43,"12/02/2010",47.99,2.548,,,,,,203.2010968,9.521,TRUE
8,"12/02/2010",33.34,2.548,,,,,,214.6214189,6.299,TRUE
35,"12/02/2010",29.81,2.773,,,,,,135.4113076,9.262,TRUE
22,"12/02/2010",28.14,2.771,,,,,,135.4113076,8.283,TRUE
2,"12/02/2010",38.49,2.548,,,,,,210.8979935,8.324,TRUE
25,"12/02/2010",19.64,2.773,,,,,,204.3857472,8.187,TRUE
17,"12/02/2010",18.36,2.671,,,,,,126.4962581,6.548,TRUE
39,"12/02/2010",44.58,2.548,,,,,,209.9970208,8.554,TRUE
11,"12/02/2010",48.01,2.548,,,,,,214.5747916,7.368,TRUE
10,"12/02/2010",49.96,2.828,,,,,,126.4962581,9.765,TRUE
6,"19/02/2010",43.58,2.514,,,,,,212.8161546,7.259,FALSE
24,"19/02/2010",31.05,2.909,,,,,,131.6370000,8.326,FALSE
13,"19/02/2010",35.70,2.654,,,,,,126.5262857,8.316,FALSE
16,"19/02/2010",21.13,2.550,,,,,,189.5340998,7.039,FALSE
29,"19/02/2010",31.96,2.747,,,,,,131.6370000,10.064,FALSE
45,"19/02/2010",31.27,2.745,,,,,,182.0347816,8.992,FALSE
41,"19/02/2010",24.13,2.550,,,,,,189.5340998,7.541,FALSE
30,"19/02/2010",39.75,2.514,,,,,,210.9451605,8.324,FALSE
42,"19/02/2010",58.22,2.915,,,,,,126.5262857,9.765,FALSE
38,"19/02/2010",54.83,2.915,,,,,,126.5262857,13.975,FALSE
3,"19/02/2010",47.07,2.514,,,,,,214.6198868,7.368,FALSE
40,"19/02/2010",27.84,2.747,,,,,,131.6370000,5.892,FALSE
32,"19/02/2010",29.16,2.550,,,,,,189.5340998,9.014,FALSE
34,"19/02/2010",38.36,2.540,,,,,,126.5262857,9.521,FALSE
26,"19/02/2010",22.62,2.747,,,,,,131.6370000,8.488,FALSE
18,"19/02/2010",30.91,2.747,,,,,,131.6370000,9.202,FALSE
12,"19/02/2010",54.83,2.915,,,,,,126.5262857,13.975,FALSE
23,"19/02/2010",26.70,2.747,,,,,,131.6370000,5.892,FALSE
37,"19/02/2010",45.66,2.514,,,,,,210.0451024,8.554,FALSE
20,"19/02/2010",25.43,2.745,,,,,,204.4321004,8.187,FALSE
19,"19/02/2010",28.57,2.909,,,,,,131.6370000,8.350,FALSE
31,"19/02/2010",39.75,2.514,,,,,,210.9451605,8.324,FALSE
