"idcol","DateTime","NN5_3"
1,1996-12-05,38.322
1,1997-10-31,32.851
1,1998-01-23,33.234
1,1996-09-13,26.247
1,1998-01-21,36.154
1,1997-08-21,43.141
1,1996-03-18,5.641
1,1997-09-01,8.503
1,1996-08-04,11.409
1,1996-09-03,17.205
1,1996-10-21,10.998
1,1997-08-07,38.577
1,1996-04-26,22.86
1,1996-04-24,22.931
1,1997-07-21,14.512
1,1997-10-26,17.545
1,1997-08-22,24.093
1,1998-02-17,23.781
1,1996-06-20,32.766
1,1996-12-09,10.176
1,1997-07-28,13.535
1,1998-03-12,46.23
1,1997-01-14,17.616
1,1997-06-02,10.785
1,1998-03-08,14.909
1,1997-01-08,21.131
1,1996-08-08,27.849
1,1998-01-17,17.319
1,1997-03-23,15.476
1,1997-08-09,16.057
1,1996-11-22,22.676
1,1996-05-23,36.621
1,1996-04-20,
1,1997-03-05,25.624
1,1997-08-14,36.635
1,1997-04-04,22.775
1,1996-11-19,16.908
1,1997-10-08,33.022
1,1996-04-02,17.73
1,1997-03-25,21.414
1,1996-09-18,26.077
1,1996-12-23,32.781
1,1996-04-07,0.0
1,1998-03-01,18.707
1,1996-06-22,0.0
1,1997-06-27,26.346
1,1996-10-20,17.361
1,1998-02-28,18.736
1,1996-12-20,29.011
1,1997-02-11,16.44
1,1996-05-20,12.188
1,1998-02-16,17.46
1,1997-07-12,14.442
1,1997-01-19,13.45
1,1996-09-01,12.457
1,1997-04-24,36.664
1,1996-11-03,11.012
1,1996-04-05,24.943
1,1996-05-04,
1,1997-04-14,11.565
1,1998-02-21,16.695
1,1997-10-24,27.381
1,1997-06-14,
1,1998-01-16,28.274
1,1997-10-20,13.039
1,1997-05-28,24.589
1,1996-11-27,25.298
1,1996-12-07,17.758
1,1997-11-15,18.58
1,1997-07-26,16.752
1,1998-03-10,21.471
1,1997-04-19,14.215
1,1996-11-15,23.554
1,1997-09-22,13.251
1,1997-04-11,24.15
1,1997-10-21,20.38
1,1996-06-19,16.738
1,1997-09-16,20.493
1,1997-09-14,15.76
1,1996-04-22,8.645
1,1997-09-17,33.092
1,1996-10-26,14.399
1,1997-11-19,33.957
1,1997-03-20,33.333
1,1998-02-09,11.508
1,1996-05-09,35.799
1,1998-02-07,19.756
1,1996-08-10,12.783
1,1996-07-07,6.519
1,1997-08-17,10.317
1,1996-12-12,40.462
1,1997-03-06,34.864
1,1996-11-07,26.417
1,1997-04-05,0.0
1,1998-01-11,12.897
1,1996-03-25,10.743
1,1997-11-12,37.741
1,1996-07-10,20.422
1,1996-09-12,32.54
1,1996-10-28,10.884
1,1998-01-14,37.188
1,1997-06-10,17.815
1,1996-03-30,12.897
1,1997-10-14,22.959
1,1996-11-23,10.502
1,1997-02-17,10.402
1,1998-01-06,17.418
1,1997-07-01,21.981
1,1997-06-19,29.393
1,1996-12-18,35.204
1,1997-10-25,19.742
1,1996-09-09,11.366
1,1997-03-08,7.129
1,1996-11-30,
1,1996-07-22,13.251
1,1997-02-03,11.947
1,1997-11-20,45.493
1,1997-07-31,34.283
1,1997-03-19,25.227
1,1998-03-11,35.785
1,1996-08-30,24.461
1,1997-02-10,7.157
1,1997-05-30,26.658
1,1996-11-04,9.963
1,1997-02-19,22.902
1,1996-04-06,2.565
1,1997-07-24,41.638
1,1997-04-17,39.116
1,1996-03-20,24.419
1,1997-02-26,28.005
1,1997-02-05,8.078
1,1997-12-02,24.589
1,1996-05-14,18.339
1,1997-07-06,15.958
1,1997-06-03,20.408
1,1997-07-25,24.603
1,1997-01-13,9.694
1,1996-11-18,6.874
1,1998-02-04,33.659
1,1997-11-06,39.867
1,1997-01-26,9.85
1,1998-01-18,14.938
1,1997-11-04,25.283
1,1996-05-19,7.157
1,1997-04-25,25.765
1,1998-03-14,18.552
1,1997-08-31,15.476
1,1997-04-23,26.063
1,1996-09-17,15.618
1,1996-10-16,26.205
1,1997-07-18,24.32
1,1997-06-13,
1,1996-09-24,14.994
1,1997-04-22,17.744
1,1998-01-05,12.075
1,1996-09-16,10.176
1,1997-09-27,19.374
1,1996-07-31,22.69
1,1997-10-28,22.577
1,1996-07-06,2.636
1,1998-02-19,51.049
1,1996-11-29,30.456
1,1996-11-08,21.825
1,1997-10-18,18.991
1,1997-05-26,19.246
1,1996-05-11,4.847
1,1997-12-16,22.435
1,1997-06-04,29.252
1,1997-07-03,36.31
1,1997-06-21,
1,1997-07-22,23.413
1,1998-02-03,21.542
1,1996-05-03,25.496
1,1998-02-20,28.543
1,1997-02-07,25.17
1,1997-05-12,10.388
1,1997-03-27,4.238
1,1996-11-28,40.533
1,1996-09-22,13.846
1,1996-08-19,14.272
1,1996-06-13,32.2
1,1997-09-29,15.108
1,1997-01-30,40.519
1,1996-11-14,40.32
1,1997-03-30,0.0
1,1998-03-22,13.095
1,1997-04-10,35.204
1,1997-02-06,26.63
1,1997-01-24,18.934
1,1996-07-21,12.982
1,1997-03-03,10.048
1,1997-01-12,9.595
1,1998-02-26,52.367
1,1997-08-23,17.503
1,1997-04-15,18.552
1,1996-05-22,24.802
1,1997-09-20,16.497
1,1996-12-10,18.566
1,1997-06-09,11.791
1,1996-09-20,22.69
1,1997-09-10,30.385
1,1996-06-09,11.891
1,1998-01-03,14.215
1,1998-02-25,41.029
1,1997-10-01,33.858
1,1996-09-06,22.69
1,1996-09-02,14.484
1,1997-01-18,11.324
1,1996-10-22,14.909
1,1996-05-30,30.598
1,1997-08-27,30.612
1,1997-10-29,40.235
1,1996-06-29,10.119
1,1997-11-30,11.706
1,1997-01-27,10.643
1,1998-03-02,15.533
1,1998-03-21,18.637
1,1997-05-10,14.768
1,1997-02-24,10.899
1,1997-04-26,14.371
1,1996-12-27,18.58
1,1998-03-13,30.796
1,1996-05-10,22.775
1,1996-06-28,24.419
1,1998-01-20,21.315
1,1997-01-07,12.954
1,1996-10-07,9.566
1,1996-05-13,10.969
1,1996-10-01,15.859
1,1997-11-09,18.056
1,1997-10-27,15.901
1,1997-05-16,23.058
1,1997-11-07,29.62
1,1996-05-01,20.125
1,1997-01-04,9.396
1,1997-06-30,16.171
1,1997-12-21,32.611
1,1996-07-18,35.346
1,1997-10-15,31.944
1,1997-12-17,43.509
1,1997-06-24,17.248
1,1996-06-30,8.73
1,1997-10-05,17.205
1,1997-03-09,23.597
1,1996-09-25,19.345
1,1996-09-23,11.536
1,1997-09-15,12.5
1,1996-07-15,13.237
1,1997-08-08,24.376
1,1996-06-27,36.352
1,1997-02-09,0.0
1,1996-08-06,15.221
1,1996-06-21,10.091
1,1997-09-18,46.854
1,1996-08-21,26.346
1,1996-04-13,12.769
1,1997-05-27,17.049
1,1996-11-26,16.497
1,1997-02-20,38.719
1,1997-08-11,14.555
1,1998-01-09,29.464
1,1997-04-01,14.413
1,1997-07-27,18.141
1,1997-11-14,
1,1996-11-01,23.98
1,1996-12-21,21.074
1,1997-07-02,29.946
1,1997-09-25,4.932
1,1996-05-25,14.64
1,1997-03-07,25.709
1,1998-01-31,16.624
1,1996-12-26,11.664
1,1996-11-02,13.846
1,1996-05-07,14.342
1,1996-04-25,36.65
1,1996-08-12,11.239
1,1996-04-23,13.974
1,1996-10-14,13.62
1,1997-12-29,19.544
1,1996-07-05,23.965
1,1997-02-28,24.816
1,1996-10-31,35.587
1,1997-11-03,12.443
1,1998-01-28,41.213
1,1997-06-22,13.96
1,1997-12-30,39.654
1,1998-02-02,14.059
1,1997-01-05,9.566
1,1996-08-20,16.213
1,1996-10-03,31.774
1,1997-08-29,26.148
1,1997-03-18,16.199
1,1997-09-28,16.865
1,1997-10-06,10.19
1,1996-04-19,
1,1997-04-30,
1,1997-01-23,36.522
1,1997-11-01,20.238
1,1997-04-28,
1,1997-10-17,7.37
1,1997-03-02,12.245
1,1996-04-28,14.371
1,1996-05-08,19.062
1,1997-10-09,43.722
1,1996-10-15,16.936
1,1996-07-25,39.81
1,1996-04-18,29.393
1,1997-12-05,34.51
1,1996-08-05,11.395
1,1997-06-29,14.952
1,1997-09-11,42.928
1,1997-09-30,21.613
1,1997-11-13,48.058
1,1998-02-24,20.196
1,1997-08-15,16.794
1,1998-01-30,32.795
1,1998-02-10,23.399
1,1997-02-14,22.477
1,1997-06-20,
1,1998-03-05,45.649
1,1996-07-08,8.929
1,1996-06-26,24.05
1,1996-05-02,34.113
1,1997-12-26,19.77
1,1996-12-30,19.473
1,1997-02-02,13.464
1,1998-03-16,17.389
1,1998-01-12,9.439
1,1997-05-07,28.982
1,1997-06-08,13.662
1,1997-07-07,10.728
1,1997-06-25,26.105
1,1996-12-03,17.942
1,1997-01-10,18.849
1,1998-01-02,20.564
1,1997-08-02,13.336
1,1996-07-26,28.26
1,1996-09-28,13.861
1,1996-03-31,15.122
1,1997-11-18,22.222
1,1997-07-23,33.943
1,1997-11-08,16.978
1,1996-08-26,3.855
1,1997-08-18,13.903
1,1997-09-19,32.256
1,1997-07-13,13.18
1,1998-02-15,17.815
1,1996-10-05,13.591
1,1997-07-11,25.34
1,1997-02-15,13.336
1,1996-08-29,39.512
1,1996-12-16,16.213
1,1997-10-04,16.199
1,1997-11-05,36.82
1,1998-02-18,35.034
1,1997-01-21,16.114
1,1996-12-06,31.108
1,1997-07-08,19.005
1,1996-12-04,26.885
1,1996-09-14,
1,1997-02-23,13.889
1,1996-12-24,2.268
1,1997-09-03,31.477
1,1997-04-13,16.327
1,1996-10-12,11.125
1,1996-06-23,8.673
1,1997-12-04,50.128
1,1998-02-12,42.758
1,1996-04-09,11.182
1,1996-06-07,24.391
1,1996-04-03,36.139
1,1997-01-09,30.343
1,1997-10-03,27.834
1,1996-09-29,12.968
1,1997-11-23,15.264
1,1996-05-17,19.827
1,1997-07-09,29.124
1,1997-06-06,21.939
1,1998-01-08,42.531
1,1997-04-21,11.635
1,1997-10-12,15.986
1,1996-07-13,13.152
1,1996-06-10,9.297
1,1996-09-15,14.923
1,1997-01-31,28.912
1,1997-12-31,10.289
1,1997-03-12,26.474
1,1996-08-27,21.018
1,1997-01-25,0.0
1,1997-12-25,9.566
1,1997-10-19,17.73
1,1997-06-16,12.245
1,1997-12-07,19.799
1,1996-07-04,32.88
1,1997-10-22,36.239
1,1996-10-09,23.115
1,1998-03-20,35.587
1,1997-01-22,22.888
1,1996-09-04,25.609
1,1996-07-19,24.461
1,1996-12-28,12.33
1,1996-10-24,33.39
1,1997-09-13,15.363
1,1996-03-28,35.133
1,1997-05-03,12.075
1,1996-03-26,14.824
