"ROW_I","attribute_1","attribute_2","attribute_3","attribute_4","attribute_5","attribute_6","attribute_7","attribute_8","attribute_9","attribute_10","attribute_11","attribute_12","attribute_13","attribute_14","attribute_15","attribute_16","attribute_17","attribute_18","attribute_19","attribute_20","attribute_21","attribute_22","attribute_23","attribute_24","attribute_25","attribute_26","attribute_27","attribute_28","attribute_29","attribute_30","attribute_31","attribute_32","attribute_33","attribute_34","attribute_35","attribute_36","attribute_37","attribute_38","attribute_39","attribute_40","attribute_41","attribute_42","attribute_43","attribute_44","attribute_45","attribute_46","attribute_47","attribute_48","attribute_49","attribute_50","attribute_51","attribute_52","attribute_53","attribute_54","attribute_55","attribute_56","attribute_57","attribute_58","attribute_59","attribute_60","Target_Col"
26,0.02010,0.00260,0.01380,0.00620,0.01330,0.01510,0.05410,0.02100,0.05050,0.10970,0.08410,0.09420,0.12040,0.04200,0.00310,0.01620,0.06240,0.21270,0.34360,0.38130,0.38250,0.47640,0.63130,0.75230,0.86750,0.87880,0.79010,0.83570,0.96310,0.96190,0.92360,0.89030,0.97080,0.96470,0.78920,0.53070,0.27180,0.19530,0.13740,0.31050,0.37900,0.41050,0.33550,0.29980,0.27480,0.20240,0.10430,0.04530,0.03370,0.01220,0.00720,0.01080,0.00700,0.00630,0.00300,0.00110,0.00070,0.00240,0.00570,0.00440,Rock
101,0.06290,0.10650,0.15260,0.12290,0.14370,0.11900,0.08840,0.09070,0.21070,0.35970,0.54660,0.52050,0.51270,0.53950,0.65580,0.87050,0.97860,0.93350,0.79170,0.73830,0.69080,0.38500,0.06710,0.05020,0.27170,0.28390,0.22340,0.19110,0.04080,0.25310,0.19790,0.18910,0.24330,0.19560,0.26670,0.13400,0.10730,0.20230,0.17940,0.02270,0.13130,0.17750,0.15490,0.16260,0.07080,0.01290,0.07950,0.07620,0.01170,0.00610,0.02570,0.00890,0.02620,0.01080,0.01380,0.01870,0.02300,0.00570,0.01130,0.01310,Mine
150,0.02070,0.05350,0.03340,0.08180,0.07400,0.03240,0.09180,0.10700,0.15530,0.12340,0.17960,0.17870,0.12470,0.25770,0.33700,0.39900,0.16470,0.22660,0.32190,0.53560,0.81590,1.00000,0.87010,0.68890,0.62990,0.57380,0.57070,0.59760,0.43010,0.20580,0.10000,0.22470,0.23080,0.39770,0.33170,0.17260,0.14290,0.21680,0.19670,0.21400,0.36740,0.20230,0.07780,0.09250,0.23880,0.34000,0.25940,0.11020,0.09110,0.04620,0.01710,0.00330,0.00500,0.01900,0.01030,0.01210,0.00420,0.00900,0.00700,0.00990,Mine
74,0.01390,0.02220,0.00890,0.01080,0.02150,0.01360,0.06590,0.09540,0.07860,0.10150,0.12610,0.08280,0.04930,0.08480,0.15140,0.13960,0.10660,0.19230,0.29910,0.32470,0.37970,0.56580,0.74830,0.87570,0.90480,0.75110,0.68580,0.70430,0.58640,0.37730,0.22060,0.26280,0.26720,0.29070,0.19820,0.22880,0.31860,0.28710,0.29210,0.28060,0.26820,0.21120,0.15130,0.17890,0.18500,0.17170,0.08980,0.06560,0.04450,0.01100,0.00240,0.00620,0.00720,0.01130,0.00120,0.00220,0.00250,0.00590,0.00390,0.00480,Rock
55,0.01320,0.00800,0.01880,0.01410,0.04360,0.06680,0.06090,0.01310,0.08990,0.09220,0.14450,0.14750,0.20870,0.25580,0.26030,0.19850,0.23940,0.31340,0.40770,0.45290,0.48930,0.56660,0.62340,0.67410,0.82820,0.88230,0.91960,0.89650,0.75490,0.67360,0.64630,0.50070,0.36630,0.22980,0.13620,0.21230,0.23950,0.26730,0.28650,0.20600,0.16590,0.26330,0.25520,0.16960,0.14670,0.12860,0.09260,0.07160,0.03250,0.02580,0.01360,0.00440,0.00280,0.00210,0.00220,0.00480,0.01380,0.01400,0.00280,0.00640,Rock
95,0.00250,0.03090,0.01710,0.02280,0.04340,0.12240,0.19470,0.16610,0.13680,0.14300,0.09940,0.22500,0.24440,0.32390,0.30390,0.24100,0.03670,0.16720,0.30380,0.40690,0.36130,0.19940,0.46110,0.68490,0.72720,0.71520,0.71020,0.85160,1.00000,0.76900,0.48410,0.37170,0.60960,0.51100,0.25860,0.09160,0.09470,0.22870,0.34800,0.20950,0.19010,0.29410,0.22110,0.15240,0.07460,0.06060,0.06920,0.04460,0.03440,0.00820,0.01080,0.01490,0.00770,0.00360,0.01140,0.00850,0.01010,0.00160,0.00280,0.00140,Rock
61,0.01300,0.00060,0.00880,0.04560,0.05250,0.07780,0.09310,0.09410,0.17110,0.14830,0.15320,0.11000,0.08900,0.12360,0.11970,0.11450,0.21370,0.28380,0.36400,0.54300,0.66730,0.79790,0.92730,0.90270,0.91920,1.00000,0.98210,0.90920,0.81840,0.69620,0.59000,0.54470,0.51420,0.53890,0.55310,0.53180,0.48260,0.37900,0.18310,0.17500,0.16790,0.06740,0.06090,0.03750,0.05330,0.02780,0.01790,0.01140,0.00730,0.01160,0.00920,0.00780,0.00410,0.00130,0.00110,0.00450,0.00390,0.00220,0.00230,0.00160,Rock
162,0.03050,0.03630,0.02140,0.02270,0.04560,0.06650,0.09390,0.09720,0.25350,0.31270,0.21920,0.26210,0.24190,0.21790,0.11590,0.12370,0.08860,0.17550,0.17580,0.15400,0.05120,0.18050,0.40390,0.56970,0.65770,0.74740,0.85430,0.90850,0.86680,0.88920,0.90650,0.85220,0.72040,0.62000,0.62530,0.68480,0.73370,0.62810,0.57250,0.61190,0.55970,0.49650,0.50270,0.57720,0.59070,0.48030,0.38770,0.27790,0.14270,0.04240,0.02710,0.02000,0.00700,0.00700,0.00860,0.00890,0.00740,0.00420,0.00550,0.00210,Mine
183,0.00950,0.03080,0.05390,0.04110,0.06130,0.10390,0.10160,0.13940,0.25920,0.37450,0.42290,0.44990,0.54040,0.43030,0.33330,0.34960,0.34260,0.28510,0.40620,0.68330,0.76500,0.66700,0.57030,0.59950,0.64840,0.86140,0.98190,0.93800,0.84350,0.60740,0.54030,0.68900,0.59770,0.32440,0.05160,0.31570,0.35900,0.38810,0.57160,0.43140,0.30510,0.43930,0.43020,0.48310,0.50840,0.19520,0.15390,0.20370,0.10540,0.02510,0.03570,0.01810,0.00190,0.01020,0.01330,0.00400,0.00420,0.00300,0.00310,0.00330,Mine
89,0.02740,0.02420,0.06210,0.05600,0.11290,0.09730,0.18230,0.17450,0.14400,0.18080,0.23660,0.09060,0.17490,0.40120,0.51870,0.73120,0.90620,0.92600,0.74340,0.44630,0.51030,0.69520,0.77550,0.83640,0.72830,0.63990,0.57590,0.41460,0.34950,0.44370,0.26650,0.20240,0.19420,0.07650,0.37250,0.58430,0.48270,0.23470,0.09990,0.32440,0.39900,0.29750,0.16840,0.17610,0.16830,0.07290,0.11900,0.12970,0.07480,0.00670,0.02550,0.01130,0.01080,0.00850,0.00470,0.00740,0.01040,0.01610,0.02200,0.01730,Rock
