Customer_ID,Age,Gender,Income_Level,Occupation,Education_Level,Travel_Frequency,Destination,Trip_Duration,Travel_Purpose,Previous_Dental Treatment,General_Health_Status,Dental_Issue_History,Dental_Visit_Frequency,Previous_Insurance_Policy,Claims_History,Insurance_Duration,Online_Behavior,Marketing_Engagement,Social_Media_Activity,Credit_Score,Spending_Pattern,Payment_History,Propensity_Score
1,30,Male,60429,Business,PhD,5,International,30,Leisure,False,Average,False,0,True,2,3,High,High,Medium,419,Medium,Average,0.0934969709590475
2,33,Male,56246,Teacher,Master,2,Domestic,10,Medical,False,Poor,True,2,True,3,2,Medium,High,High,489,High,Average,0.6894262577464019
3,61,Female,131077,Doctor,Master,8,Domestic,15,Medical,True,Poor,False,3,True,4,4,Medium,Medium,High,355,Low,Average,0.6798047690220349
4,69,Male,93749,Lawyer,High School,6,International,20,Leisure,True,Average,True,0,False,0,2,Medium,Medium,Medium,600,Medium,Good,0.4434816968678502
5,50,Male,92679,Doctor,Master,9,Domestic,2,Medical,True,Average,True,0,False,5,9,High,Low,High,319,Medium,Average,0.445266786478262
6,23,Male,56481,Doctor,Bachelor,6,Domestic,5,Leisure,True,Average,False,5,False,5,3,Medium,Low,Medium,832,Low,Poor,0.6076147957106908
7,26,Female,87740,Business,High School,5,Domestic,11,Leisure,True,Average,True,1,True,2,7,High,Low,Low,535,Medium,Average,0.2641629590736114
8,71,Male,41485,Artist,High School,8,Domestic,20,Medical,True,Average,True,3,False,5,8,Low,High,High,443,High,Poor,0.9126989707700158
9,53,Female,87431,Business,Master,9,International,1,Leisure,True,Poor,True,5,True,0,1,High,Low,Medium,629,Medium,Poor,0.6455049629716583
10,47,Male,53863,Doctor,Master,3,International,26,Medical,True,Average,False,1,True,3,8,Low,Low,High,749,Medium,Average,0.2474832725279591
11,29,Male,143613,Artist,Master,5,Domestic,10,Business,False,Poor,False,4,False,3,7,Medium,Medium,Medium,498,High,Poor,0.5053140542470173
12,74,Male,123740,Artist,Bachelor,9,Domestic,8,Leisure,True,Poor,True,6,False,5,9,High,Low,Low,305,High,Average,0.7354294782547711
13,72,Male,125829,Business,Bachelor,9,Domestic,10,Medical,True,Average,True,7,False,4,10,High,Low,Low,663,Medium,Good,0.8040443957646116
14,68,Female,128179,Teacher,PhD,6,International,10,Medical,True,Poor,True,7,False,1,6,Low,High,Medium,791,Low,Good,0.9717645061172676
15,63,Male,66383,Teacher,Bachelor,0,International,15,Business,False,Poor,True,4,False,5,5,Medium,High,Low,387,Low,Good,0.4927934203266978
16,43,Female,77510,Business,Master,2,Domestic,10,Leisure,False,Poor,False,1,False,0,6,Low,Medium,Low,408,High,Good,0.5938838732927649
17,64,Female,117061,Lawyer,High School,8,International,1,Business,False,Poor,False,4,True,4,4,Medium,Low,High,824,High,Average,0.4621113919989681
18,26,Female,40512,Business,High School,3,Domestic,21,Medical,False,Poor,False,5,False,5,9,Low,High,Low,611,Medium,Good,0.4768602425860536
19,65,Male,35328,Teacher,Bachelor,10,International,10,Business,True,Average,True,5,True,0,5,Low,Medium,Medium,786,Low,Average,0.7783525625968493
20,38,Female,79142,Engineer,High School,3,Domestic,4,Leisure,True,Poor,True,3,False,2,10,Low,High,High,385,Medium,Poor,0.060790084387875
21,54,Male,31481,Engineer,High School,1,Domestic,14,Leisure,False,Poor,False,3,False,2,5,Low,High,High,583,Low,Good,0.5917182043246849
22,30,Female,128619,Teacher,Bachelor,9,International,14,Leisure,False,Good,False,1,False,3,1,High,Medium,Low,611,Medium,Poor,0.2093692513767392
