COMMENT_ID,CUSTOMER_ID,COMMENT_DT,CHANNEL_TYPE,CHANNEL_ID,COMMENT_TEXT
T00008000,154135,2018-03-11 18:42:00.000,C,C0000507035,Sample comment
T00008001,122115,2018-03-11 18:42:00.000,C,C0000506510,Sample comment
T00008002,90095,2018-03-11 18:42:00.000,C,C0000504940,Sample comment
T00008003,86866,2018-03-11 22:49:00.000,C,C0000504807,Sample comment
T00008004,118886,2018-03-11 22:49:00.000,C,C0000506370,Sample comment
T00008005,110819,2018-03-12 03:08:00.000,C,C0000505963,Sample comment
T00008006,101649,2018-03-12 18:46:00.000,W,W0000200002,Sample comment
T00008007,195709,2018-03-12 18:46:00.000,W,W0000200003,Sample comment
T00008008,227680,2018-03-12 18:46:00.000,W,W0000200004,Sample comment
T00008009,69629,2018-03-12 18:46:00.000,W,W0000200001,Sample comment
T00008010,69629,2018-03-12 18:54:00.000,C,C0000503961,Sample comment
T00008011,101649,2018-03-12 18:54:00.000,C,C0000505538,Sample comment
T00008012,71794,2018-03-12 20:38:00.000,W,W0000200005,Sample comment
T00008013,197874,2018-03-12 20:38:00.000,W,W0000200007,Sample comment
T00008014,103814,2018-03-12 20:38:00.000,W,W0000200006,Sample comment
T00008015,103814,2018-03-12 20:40:00.000,C,C0000505630,Sample comment
T00008016,71794,2018-03-12 20:40:00.000,C,C0000504058,Sample comment
T00008017,229845,2018-03-12 20:40:00.000,C,C0000507574,Sample comment
T00008018,90095,2018-03-13 00:52:00.000,W,W0000200021,Sample comment
T00008019,216175,2018-03-13 00:52:00.000,W,W0000200023,Sample comment
T00008020,122115,2018-03-13 00:52:00.000,W,W0000200022,Sample comment
T00008021,88911,2018-03-13 03:41:00.000,C,C0000504884,Sample comment
T00008022,120931,2018-03-13 03:41:00.000,C,C0000506455,Sample comment
T00008023,246962,2018-03-13 03:41:00.000,C,C0000507692,Sample comment
T00008024,118886,2018-03-13 04:59:00.000,W,W0000200038,Sample comment
T00008025,182926,2018-03-13 04:59:00.000,W,W0000200039,Sample comment
T00008026,86866,2018-03-13 04:59:00.000,W,W0000200037,Sample comment
T00008027,113408,2018-03-13 05:28:00.000,W,W0000200041,Sample comment
T00008028,134753,2018-03-13 06:16:00.000,W,W0000200058,Sample comment
T00008029,70713,2018-03-13 06:16:00.000,W,W0000200056,Sample comment
T00008030,102733,2018-03-13 06:16:00.000,W,W0000200057,Sample comment
T00008031,166773,2018-03-13 06:16:00.000,W,W0000200059,Sample comment
T00008032,192667,2018-03-13 08:25:00.000,C,C0000507323,Sample comment
T00008033,98607,2018-03-13 08:25:00.000,C,C0000505408,Sample comment
T00008034,66587,2018-03-13 08:25:00.000,C,C0000503825,Sample comment
T00008035,110819,2018-03-13 09:11:00.000,W,W0000200069,Sample comment
T00008036,174859,2018-03-13 09:11:00.000,W,W0000200070,Sample comment
T00008037,231599,2018-03-13 11:04:00.000,C,C0000507582,Sample comment
T00008038,105568,2018-03-13 11:04:00.000,C,C0000505698,Sample comment
T00008039,73548,2018-03-13 11:04:00.000,C,C0000504130,Sample comment
T00008040,108768,2018-03-13 11:35:00.000,C,C0000505861,Sample comment
T00008041,100252,2018-03-13 13:31:00.000,C,C0000505467,Sample comment
T00008042,68232,2018-03-13 13:31:00.000,C,C0000503894,Sample comment
T00008043,194312,2018-03-13 13:31:00.000,C,C0000507334,Sample comment
T00008044,235812,2018-03-13 15:26:00.000,C,C0000507625,Sample comment
T00008045,109781,2018-03-13 15:26:00.000,C,C0000505912,Sample comment
T00008046,109781,2018-03-13 15:30:00.000,W,W0000200121,Sample comment
T00008047,126009,2018-03-13 21:07:00.000,C,C0000506723,Sample comment
T00008048,93989,2018-03-13 21:07:00.000,C,C0000505160,Sample comment
T00008049,158029,2018-03-13 21:07:00.000,C,C0000507066,Sample comment
T00008050,69896,2018-03-13 21:18:00.000,W,W0000200132,Sample comment
T00008051,101916,2018-03-13 21:18:00.000,W,W0000200133,Sample comment
T00008052,195976,2018-03-13 21:18:00.000,W,W0000200134,Sample comment
T00008053,227947,2018-03-13 21:18:00.000,W,W0000200135,Sample comment
T00008054,94519,2018-03-13 21:52:00.000,W,W0000200141,Sample comment
T00008055,252570,2018-03-13 21:52:00.000,W,W0000200144,Sample comment
T00008056,126539,2018-03-13 21:52:00.000,W,W0000200142,Sample comment
T00008057,220599,2018-03-13 21:52:00.000,W,W0000200143,Sample comment
T00008058,252570,2018-03-13 22:07:00.000,C,C0000507734,Sample comment
T00008059,220599,2018-03-13 22:07:00.000,C,C0000507503,Sample comment
T00008060,126539,2018-03-13 22:07:00.000,C,C0000506756,Sample comment
T00008061,94519,2018-03-13 22:07:00.000,C,C0000505190,Sample comment
T00008062,108889,2018-03-13 23:21:00.000,W,W0000200159,Sample comment
T00008063,234920,2018-03-13 23:21:00.000,W,W0000200161,Sample comment
T00008064,172929,2018-03-13 23:21:00.000,W,W0000200160,Sample comment
T00008065,108889,2018-03-13 23:28:00.000,C,C0000505872,Sample comment
T00008066,102196,2018-03-13 23:43:00.000,W,W0000200170,Sample comment
T00008067,70176,2018-03-13 23:43:00.000,W,W0000200168,Sample comment
T00008068,109050,2018-03-13 23:47:00.000,C,C0000505886,Sample comment
T00008069,235081,2018-03-13 23:47:00.000,C,C0000507620,Sample comment
T00008070,109050,2018-03-13 23:49:00.000,W,W0000200183,Sample comment
T00008071,226892,2018-03-14 01:47:00.000,C,C0000507555,Sample comment
T00008072,100861,2018-03-14 01:47:00.000,C,C0000505496,Sample comment
T00008073,68841,2018-03-14 01:47:00.000,C,C0000503924,Sample comment
T00008074,107462,2018-03-14 02:55:00.000,C,C0000505789,Sample comment
T00008075,73564,2018-03-14 03:00:00.000,W,W0000200196,Sample comment
T00008076,105584,2018-03-14 03:00:00.000,W,W0000200197,Sample comment
T00008077,124801,2018-03-14 05:55:00.000,C,C0000506656,Sample comment
T00008078,92781,2018-03-14 05:55:00.000,C,C0000505090,Sample comment
T00008079,125922,2018-03-14 08:14:00.000,C,C0000506716,Sample comment
T00008080,93902,2018-03-14 08:14:00.000,C,C0000505151,Sample comment
T00008081,123282,2018-03-14 08:45:00.000,W,W0000200244,Sample comment
T00008082,91262,2018-03-14 08:45:00.000,W,W0000200243,Sample comment
T00008083,88911,2018-03-14 09:44:00.000,W,W0000200259,Sample comment
T00008084,120931,2018-03-14 09:44:00.000,W,W0000200260,Sample comment
T00008085,113408,2018-03-14 10:43:00.000,C,C0000506115,Sample comment
T00008086,87638,2018-03-14 14:59:00.000,W,W0000200279,Sample comment
T00008087,119658,2018-03-14 14:59:00.000,W,W0000200280,Sample comment
