Policy_id,Customer_id,Policy_State,Policy_Premium_Amt,auto_make,auto_model,Policy_start_date,Policy_end_date
454086,6684741,IN  ,1152,Mercedes,E400,1992-11-10,1993-11-10
203914,2316038,OH  ,1000,Audi,A3,2001-06-09,2002-06-09
868288,1659810,IN  ,1136,Nissan,Maxima,2006-08-06,2007-08-06
193213,6073310,OH  ,1250,Ford,Escape,1996-03-11,1997-03-11
265031,8029644,IN  ,972,Toyota,Highlander,1996-08-08,1997-08-08
830419,5857899,IL  ,1360,Accura,MDX,1997-01-08,1998-01-08
130161,8191559,IL  ,1327,Chevrolet,Malibu,2002-03-24,2003-03-24
405533,3082176,OH  ,1083,Honda,CRV,2014-10-03,2015-10-03
476844,8895673,IL  ,1776,Audi,A5,1991-02-09,1992-02-09
893858,3997543,IL  ,1041,Nissan,Pathfinder,1994-08-27,1995-08-27
922570,6899325,IL  ,1174,Jeep,Wrangler,1999-11-23,2000-11-23
836272,2593949,OH  ,1280,Jeep,Wrangler,1997-05-11,1998-05-11
361834,7025216,OH  ,1071,Dodge,RAM,1995-03-17,1996-03-17
676255,5163617,IN  ,1132,Saab,93,1999-12-28,2000-12-28
732169,7532801,OH  ,1863,Mercedes,C300,2000-11-05,2001-11-05
955953,4793324,IL  ,1353,Ford,Escape,2014-01-18,2015-01-18
786432,5736554,IN  ,1145,Mercedes,E400,1997-11-15,1998-11-15
786108,4786799,OH  ,1507,Suburu,Forrestor,1995-03-24,1996-03-24
629923,7731047,IL  ,1328,Dodge,RAM,2006-04-14,2007-04-14
985929,5639084,OH  ,1022,Ford,Escape,1999-04-28,2000-04-28
237423,1133354,IN  ,1387,Suburu,Legacy,2008-06-04,2009-06-04
844062,8015626,OH  ,862,Accura,MDX,1990-05-25,1991-05-25
469971,6275338,IN  ,1416,Chevrolet,Malibu,2005-01-22,2006-01-22
484205,8973764,OH  ,1390,Accura,MDX,1995-04-12,1996-04-12
735822,8298864,IN  ,1371,Audi,A5,1995-08-28,1996-08-28
280714,8817099,OH  ,1658,Saab,92x,1991-11-06,1992-11-06
345539,2545691,IN  ,1559,Accura,RSX,2012-07-24,2013-07-24
919880,8779974,IN  ,1168,Ford,Fusion,2002-12-29,2003-12-29
740510,3340851,IL  ,1292,Accura,RSX,1998-04-12,1999-04-12
221191,6007236,OH  ,1567,BMW,X5,2005-02-13,2006-02-13
803299,7002607,IN  ,1774,Chevrolet,Tahoe,1993-12-18,1994-12-18
794956,5647061,IN  ,1335,Toyota,Camry,2008-10-21,2009-10-21
746630,8224111,IN  ,1054,Toyota,Corolla,1997-02-10,1998-02-10
976650,5128749,IL  ,1097,Ford,Fusion,2010-08-28,2011-08-28
650031,8629910,OH  ,1285,BMW,M5,2009-11-09,2010-11-09
