LocalityID,PropertyID,PropertyType,BuildingSize,LandSize,PreferredSize,OpenDate,ListingAgency,Price,Address,City,State,ZipCode,Phone,BedroomCount,BathroomCount,ParkingCount
2,1350988,House,133,150,140,Added 1 day ago,Professionals - DARWIN CITY,"$435,000 ",44 Woods Street,Darwin City,NT,800,08 8941 8289,2,1,1
3,1350989,Apartment,47,60,55,Added 3 days ago,Nick Mousellis Real Estate - Eview Group Member,"Offers Over $320,000",14/14 Dashwood Place,Darwin City,NT,800,411724000,3,2,2
6,1350990,Unit,295,350,330,Added 4 hours ago,Habitat Real Estate - THE GARDENS,"$310,000 ",13/86  Woods Street,Darwin City,NT,800,08 8981 0080,2,1,1
4,1350991,House,92,110,100,Added 5 hours ago,Ray White - NIGHTCLIFF,"$259,000 ",1309/43B Knuckey Street,Darwin City,NT,800,08 8982 2403,1,1,0
5,1350992,Unit,180,220,210,Added 2 days ago,Carol Need Real Estate - Fannie Bay,"$439,000 ",3/10 McLachlan Street,Darwin City,NT,800,418885966,3,2,2
8,1350993,Apartment,65,80,75,Added 22 hours ago,iProperty NT - Darwin,"$825,000 ",1832/27 Woods  Street,Darwin City,NT,800,0404 877 261,3,2,2
1,1350994,Unit,240,300,280,Added 7 hours ago,Nicole Wheeler@realty - LARRAKEYAH,"$820,000 ",10/99 Gardens Road,Darwin City,NT,800,417508800,3,2,2
7,1350995,Unit,102,120,110,Added yesterday,Property Shop - Darwin,$369 000,10/94 Woods Street,Darwin City,NT,800,08 8981 5000,2,1,1
5,1350996,Unit,33,50,40,Under Offer,Real Estate Central Projects - Darwin,"$439,000 ",103/39 Cavenagh Street,Darwin City,NT,800,08 8943 3000,2,2,1
9,1350997,Apartment,278,330,310,Added 6 days ago,Real Estate Central - DARWIN CITY,"$455,000 ",10/39 Cavenagh Street,Darwin City,NT,800,08 8943 3000,2,2,1
3,1350998,Apartment,62,80,70,Added 2 days ago,Professionals - DARWIN CITY,"$280,000 ",12 51 Knuckey Street,Darwin City,NT,800,08 8941 8289,1,1,1
2,1350999,Apartment,127,150,140,Added 4 days ago,Real Estate Central - DARWIN CITY,Openn Negotiation,1/6 Foelsche Street,Darwin City,NT,800,08 8943 3000,3,2,2
7,1351000,Unit,75,90,85,Added 5 days ago,Elders Real Estate - Darwin,"PRICE GUIDE $439,000",16/14 Dashwood Place,Darwin City,NT,800,08 8946 0500,2,2,2
4,1351001,House,295,350,330,Added 2 hours ago,Knight Frank (NT) - Darwin,"$775,000 ",406/130 Esplanade,Darwin City,NT,800,08 8982 2500,3,2,2
5,1351002,Apartment,130,160,150,Added 22 hours ago,Get Realty - PALMERSTON CITY,"$625,000 ",2403/43E Knuckey Street,Darwin City,NT,800,416175735,3,2,2
6,1351003,Unit,45,60,55,Added 7 hours ago,Territory Real Estate - Darwin,"Overs Over $599,000 Considered",111/19 Kitchener Drive,Darwin City,NT,800,889855678,2,2,2
8,1351004,Apartment,250,300,280,Added yesterday,Knight Frank (NT) - Darwin,"$490,000 ",6604/7 Anchorage Court,Darwin City,NT,800,08 8982 2500,1,1,1
3,1351005,Unit,105,120,110,Under Offer,Nick Mousellis Real Estate - Eview Group Member,"$337,500 ",1706/43B Knuckey Street,Darwin City,NT,800,411724000,1,1,0
1,1351006,Unit,35,50,45,Added 3 days ago,Elders Real Estate - Darwin,FASTRAK,63/21 Cavenagh Street,Darwin City,NT,800,08 8946 0500,1,1,0
10,1351007,House,275,330,310,Added 1 day ago,Call2View Real Estate - Palmerston,"$439,000 ",24/8 Knuckey Street,Darwin City,NT,800,08 8932 8858,2,2,1
5,1351008,Apartment,70,80,75,Added 2 hours ago,Real Estate Central Projects - Darwin,UNDER CONTRACT,8/12 Dashwood Place,Darwin City,NT,800,08 8943 3000,3,2,2
6,1351009,Apartment,240,300,280,Added 5 hours ago,All Real Estate NT,"Offers Over $440,000",2/24 Harry Chan Avenue,Darwin City,NT,800,0419 592 414,2,2,2
3,1351010,Apartment,115,140,130,Added 4 days ago,Professionals - DARWIN CITY,"$640,000 ",116/19B Kitchener Drive,Darwin City,NT,800,08 8941 8289,2,2,2
7,1351011,Apartment,50,60,55,Added 22 hours ago,Knight Frank (NT) - Darwin,"$500,000 ",126/19 Kitchener Drive,Darwin City,NT,800,08 8982 2500,1,1,1
9,1351012,Unit,270,330,310,Added 7 hours ago,Absolute Real Estate NT - Darwin,"$305,000 +",613/6 Carey Street,Darwin City,NT,800,08 8930 6600,1,1,1
2,1351013,Unit,100,120,110,Added yesterday,Absolute Real Estate NT - Darwin,"$295,000 +",313/6 Carey Street,Darwin City,NT,800,08 8930 6600,1,1,1
8,1351014,Unit,40,50,45,Under Offer,Colliers International - Darwin,"$795,000 ",35/24 Harry Chan Avenue,Darwin City,NT,800,08 8997 0888,3,3,4
4,1351015,Unit,260,300,280,Added 6 days ago,Core Realty NT - RAPID CREEK,"Offers Over $950,000",424/130 Esplanade,Darwin City,NT,800,0450 473 710,3,2,2
1,1351016,House,60,80,70,Added 2 days ago,Ray White - NIGHTCLIFF,"Offers Over $485,000",1109/102 Esplanade,Darwin City,NT,800,08 8982 2403,2,2,2
10,1351017,Unit,130,150,140,Added 4 days ago,Property Shop - Darwin,"$250,000 ",Unit 55/79 Mitchell Street,Darwin City,NT,800,08 8981 5000,1,1,1
4,1351018,Apartment,78,90,85,Added 5 days ago,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,"$549,000 ",1006/102 Esplanade,Darwin City,NT,800,08 8945 9372,2,2,2
2,1351019,Apartment,240,300,280,Added 2 hours ago,Knight Frank (NT) - Darwin,"Offers over $299,000",18/110 Esplanade,Darwin City,NT,800,08 8982 2500,1,1,1
6,1351020,Apartment,105,120,110,Added 22 hours ago,Elaine Mills Property Management - COOLALINGA,"$395,000 ",122.21 Cavenagh St,Darwin City,NT,800,08 8983 1800,3,1,1
8,1351021,Unit,45,60,55,Added 7 hours ago,Raine & Horne - Darwin,UNDER CONTRACT,131/21 Cavenagh Street,Darwin City,NT,800,08 8941 8941,1,1,1
