id,question,sql
1,Can you suggest apartments with a land size greater than 300 square meters and featuring at least two bedrooms in Gardiner Street?,"SELECT  PropertyID, PropertyType, BuildingSize, Price, Address, BedroomCount FROM RealEstate WHERE LandSize > 300 AND BedroomCount >= 2 AND Address LIKE '%Gardiner Street%'"
2,Can you suggest apartments with a land size greater than 300 square meters and featuring at least two bedrooms?,"SELECT PropertyID, PropertyType, BuildingSize, Price, Address, BedroomCount FROM demo_user.RealEstate WHERE LandSize > 300 AND BedroomCount >= 2"
3,Can you suggest good properties within my budget range of $250000 to $410000?,"SELECT PropertyID, PropertyType, BuildingSize, Price, Address, BedroomCount FROM RealEstate WHERE Price BETWEEN 250000 AND 410000"
4,"Is there any properties above $300,000 in Woods Street and listed by Raine & Horne - Darwin?","SELECT PropertyID, PropertyType, Price, Address, ListingAgency FROM RealEstate WHERE Price > 300000 AND Address LIKE '%Woods Street%' AND ListingAgency = 'Raine & Horne - Darwin'"
5,Which are the best localities near the city center?,"SELECT TOP 3 LocalityName, LivabilityScore FROM Locality ORDER BY LivabilityScore DESC'"
6,which is the best localities to live with good number of schools and shopping centers?,"SELECT Locality.LocalityName, COUNT(DISTINCT School.SchoolID) AS SchoolCount, COUNT(DISTINCT ShoppingCenter.StoreID) AS ShoppingCenterCount FROM Locality LEFT JOIN School ON Locality.LocalityID = School.LocalityID LEFT JOIN ShoppingCenter ON Locality.LocalityID = ShoppingCenter.LocalityID GROUP BY Locality.LocalityName ORDER BY SchoolCount DESC, ShoppingCenterCount DESC"
7,What is the mean price of 3 bedroom apartments in Larrakeyah area?,SELECT AVG(Price) AS Mean_Price FROM RealEstate WHERE BedroomCount = 3 AND LocalityID IN (SELECT LocalityID FROM Locality WHERE LocalityName = 'Larrakeyah')
8,What is the average income of customers?,SELECT AVG(Income) AS AverageIncome FROM Customer
9,Is there a correlation between distance from the airport and property prices within a locality?,"SELECT LocalityName, DistanceFromAirport, AVG(Price) AS AveragePrice FROM Locality JOIN RealEstate ON Locality.LocalityID = RealEstate.LocalityID GROUP BY LocalityName, DistanceFromAirport ORDER BY DistanceFromAirport"
10,What is the average price per square foot of properties within a Bayview?,SELECT AVG(Price / BuildingSize) AS AvgPricePerSqFt FROM RealEstate WHERE LocalityID IN (SELECT LocalityID FROM Locality WHERE LocalityName = 'Bayview')
