Date,Open,High,Low,Close,Volume
13-Dec-99,164.8125,170.0625,160.50,161.50,2362100
10-Dec-99,166.50,167.25,160.125,164.4375,3100100
9-Dec-99,166.25,170,157.875,160.625,3713300
8-Dec-99,164,170.125,160.1875,162.4375,3882700
7-Dec-99,176.6875,178.25,162.375,163.75,5327500
6-Dec-99,177.75,181.875,173,176.50,1976700
3-Dec-99,169.875,181.375,169.50,178.75,5176400
2-Dec-99,160.25,167.50,159.875,167.0625,2591400
1-Dec-99,157.0625,164.875,156,160,3254000
30-Nov-99,169,171.625,164.50,165.0625,2866800
29-Nov-99,178.625,180,169.1875,169.625,3696300
26-Nov-99,182,186,176.50,177.1875,1902500
24-Nov-99,168.75,179.6875,167.4375,179.50,4966800
23-Nov-99,153,173,151.75,167.5625,7988200
22-Nov-99,145.375,158.8125,144.625,154.3125,4994500
19-Nov-99,149.75,150.625,144.50,145.9375,2501300
18-Nov-99,142.25,154,142,152.25,3841000
17-Nov-99,145.3125,150.375,140.50,141.125,2544600
16-Nov-99,140.625,146.50,139,146.25,3461800
15-Nov-99,136.8125,142,136,140.6875,2557800
12-Nov-99,133.5625,138.25,130.5625,136.875,2440600
11-Nov-99,133.3125,135.75,131,133.125,2039700
10-Nov-99,134.375,138.50,131.50,133.3125,2392200
9-Nov-99,139.25,139.375,132.75,134.875,2134600
8-Nov-99,132.375,140.25,132.125,137,4038900
5-Nov-99,133.0625,134.9375,131,133.25,2742900
4-Nov-99,128.375,133,128,130,3327000
3-Nov-99,132.625,132.875,126.25,127.0625,3978300
2-Nov-99,135.875,136,128,131.25,6084300
1-Nov-99,135.50,139,135,137,3228500
29-Oct-99,137,137.25,134.625,135.125,4141900
28-Oct-99,137.75,139.875,133.50,136.1875,4636100
27-Oct-99,139.50,142.4375,134.0625,138.6875,12688400
26-Oct-99,153.75,155.375,151.3125,152,5053600
25-Oct-99,142.4688,152.625,142.4375,150.875,5247600
22-Oct-99,149.25,153.0625,142,142.625,3655500
21-Oct-99,141.50,151.25,139.375,148.50,4687300
20-Oct-99,137,146,135.75,145.875,4249500
19-Oct-99,134.625,136.125,132,133.625,3869900
18-Oct-99,134.50,134.875,124.50,129.50,5349500
15-Oct-99,135,138.625,133,134.125,3721000
14-Oct-99,139.25,142.0625,134.8125,141.625,4276400
13-Oct-99,142.75,148.6875,136.75,137,4137600
12-Oct-99,149.375,149.50,144.625,144.75,1966300
11-Oct-99,151.0625,154.0625,149.0625,149.75,1914900
8-Oct-99,150.25,152.50,146.6875,151.125,3011800
7-Oct-99,155.125,157.375,149.3125,150.125,6070000
6-Oct-99,146.50,152.1875,146.1875,151.6875,6200100
5-Oct-99,138.0625,143.75,136.50,141.1875,5507300
4-Oct-99,138.25,141.25,136.125,139.25,3123000
1-Oct-99,141.75,143.0625,136.50,138.2188,2715900
30-Sep-99,144.75,148.50,140,141.0625,5801500
29-Sep-99,137.0625,144.50,135,139,5793700
28-Sep-99,139.625,142.50,132.75,138,5787500
27-Sep-99,148.25,148.9375,137.75,138.75,5895300
24-Sep-99,139.125,148.25,136.4375,146.0625,7981600
23-Sep-99,151.75,155.4375,137.8125,138.25,8209300
22-Sep-99,140.4375,150,137,149.125,7045200
21-Sep-99,133.50,143.875,132,140.625,7093200
20-Sep-99,138.125,138.5625,130.3125,136,5221900
17-Sep-99,143.625,147.50,138.125,141,8744900
16-Sep-99,151.9844,153.125,145.75,151.75,5948600
15-Sep-99,159.25,161,151,152,6869200
14-Sep-99,147,155.875,147,155,5354700
13-Sep-99,154.75,155.625,146.75,147.938,6013700
10-Sep-99,149,159,148.875,158,8999100
9-Sep-99,138.688,144.50,138.125,144.438,5487600
8-Sep-99,131.75,137.875,131,134.75,3866600
7-Sep-99,132.188,136.125,130.562,133.812,4370600
3-Sep-99,126.25,134,125.50,133.50,5594100
2-Sep-99,117.75,124.75,117.25,121.438,4380600
1-Sep-99,125.562,126,120.562,121.938,4023000
31-Aug-99,121.75,125.938,115.875,125.562,9637300
30-Aug-99,127.25,128.125,117.938,119.438,4270500
27-Aug-99,130.25,130.25,124,127.25,3660100
26-Aug-99,130,133.50,126.50,128.438,4996400
25-Aug-99,121.938,129.50,120,129,6794200
24-Aug-99,122.312,129,118.25,118.875,8215100
23-Aug-99,127,129.50,121.50,124.438,7443800
20-Aug-99,114.062,123.875,112.875,123,8957000
19-Aug-99,121.75,124.25,112.781,113.75,10028700
18-Aug-99,121.688,129.375,120.25,125.938,12136300
17-Aug-99,109.812,118.375,108.375,117.75,11490800
16-Aug-99,97.8125,109.75,95.6875,109,10370900
13-Aug-99,96.75,98.625,95.125,98,5520100
12-Aug-99,87.8125,95,87,91.375,6551000
